MenuSID,Menu,DateSID,LocationSID,TotalWasteKgAvg,ModifiedTime,MainMenu
255,"Suikalelihakastike,perunat,kasvisgratiini,kaali-tomaatti-jääsalaatti-kurkku",20190121,1,,,Lihakastike
1416," Kana-kookoskastike,Täysjyväriisi,Kasvistexmex,Värikäs kiinankaalisalaatti,mh.hillo",20190121,2,,,Kana-kookoskastike
574,"Kappalekala,
perunat/perunasose,kiinankaali-kurkku-paprika-juustosalaatti",20190122,1,,,Kalaleike
1167,"Porkkanapyörykkä,Peruna,Juustokastike,Punajuuri-tofupaistos,Jäävuori-kurkku-hunajamelonisalaatti B,Sipulirouhe",20190122,2,,,Porkkanapyörykkä
115,"Kesäkeitto/pinaattikeitto,kananmuna,ruispala,maksamakkara/leikkele
",20190123,1,,,Kasviskeitto
1168,"Lasagnette,Thaikasviscurry,Ruisriisi,Porkkanaraaste",20190123,2,,,Lasagnette
847,"Jauhelihapihvi/ -mureke,perunat/perunasose,kastike,jäävuori-melonimix -salaatti",20190124,1,,,Jauhelihapihvi
1169,"Uunikala,Peruna,Papu-spagettipata,Tomaatti-purjosalaatti,Caesar salaattisekoitus",20190124,2,,,Uunikala
480,"Broilerivuoka,
porkkanaraaste",20190125,1,,,Broilerivuoka
1170,"Lihakeitto,Perunavelli,Tuorejuusto,Paprikaviipale,Moniviljaruutu,Maustamaton jogurtti + persikkasose",20190125,2,,,Lihakeitto
256,"Broilerikastike,riisi/peruna,
punakaali-marjasalaatti",20190128,1,,,Broilerikastike
1417," Italianpata,Juustoraaste,Soija-kasvispannu,Kiinankaali-Coleslawsalaatti",20190128,2,,,Italianpata
575,"Kalamurekepihvi,perunat,kastike,punajuuri,jäävuori-jääsalaatti-kurkku-tomaatti",20190129,1,,,Kalamureke
1171,"Ranskalainen kala,Peruna,Ruohosipulikastike,Linssi-juureshöystö,Punajuuri-omena ruohosipulisalaatti",20190129,2,,,Ranskalainenkala
116,"Riisi-ohrapuuro,mehukeitto,tuore leipä,leikkele,tuorepala,",20190130,1,,,Puuro
1172,"Juustoinen kana-kasviskeitto,Kasvissosekeitto (siemenet),Juusto,Salaatinlehti,Vehnäleseviipale,Hedelmä",20190130,2,,,Juustoinenkana-kasviskeitto
848,"Pinaattiohukaiset,perunasose,puolukka,pastajuustosalaatti
",20190131,1,,,Pinaattiohukaiset
1173,"Tomaattinen jauheliha-perunavuoka,Punajuuripyörykkä,Bataatti-perunasose,Kiinankaali-kesäkurpitsa-maissisalaatti B",20190131,2,,,Tomaattinenjauheliha-perunavuoka
481,"Makkarakeitto,
tuore leipä/karjalanpiirakka,juusto,
kurkkuviipale",20190201,1,,,Makkarakeitto
1174,"Pinaattiohukkaat,Porkkanapihvi,( perunasose),Perunasalaatti?,Jäävuori- paprika-kesäkurpitsasalaatti + raejuusto,Puolukkahilloke ",20190201,2,,,Pinaattiohukkaat
257,"Kala(kasvis)keitto,reissumies,leikkele,tuorepala",20190204,1,,,Kala
1418," Naudan jauhelihapihvi,Peruna,Ruskea kastike,Kasvisnuudelivuoka,Jäävuori-kesäkurpitsa-tomaattisalaatti B",20190204,2,,,Naudanjauhelihapihvi
576,"Makaronilaatikko/
lasagnette,jääsalaatti-porkkanaraaste
 ",20190205,1,,,Makaronilaatikko
1175,"Kasvispihvi,Uuniperuna,Tomaattisalsa,Tuorejuusto,Porkkana-ananassalaatti",20190205,2,,,Kasvispihvi
117,"Broileripatukka/ -nuggetti,perunasose,
katrin salaatti (kaali)",20190206,1,,,Broilerinugetti
1176,"Broileripaella,Chili Con Soija,Peruna,Kiinankaali-cantaloupemeloni-hernesalaatti B,Salaattisiemen",20190206,2,,,Broileripaella
849,"Talon päivä,
jäävuori-kurkku-tomaatti-majoneesisalaatti+ tortillalastu",20190207,1,,,Talonpäivä
1177,"Ohrapuuro,Bataattisosekeitto,Tomaattiviipale,Maksamakkara,Luomu eväsvuoka,Mansikka-raparperikiisseli",20190207,2,,,Ohrapuuro
482,"Lihakastike,perunat kiinankaali-mandariinisalaatti tai Lihakeitto,tuore leipä,herkkukurkku",20190208,1,,,Lihakastike
1178,"Lohikiusaus,Kasvismakkarahöystö,Peruna,Kaali-vinegrettesalaatti",20190208,2,,,Lohikiusaus
258,"Jauhelihakastike,perunat/pasta,porkkana-raejuustosalaatti",20190211,1,,,Jauhelihakastike
1419,"Broileripyörykkä,Peruna,Currykastike,Kasvismoussaka,Jäävuori-tomaatti-kurkku-kesäkurpitsasalaatti B,Sipulirouhe",20190211,2,,,Broileripyörykkä
577,"Kiusaus (esim. kinkku),jäävuori-meloni-rypälesalaatti,pikkuporkkanat ",20190212,1,,,Kiusaus
1179,"Vaalea kasviskastike,Kasvis-fetapihvi,Peruna,Paholaisenkastike,Juusto-kasvisalaatti",20190212,2,,,Vaaleakasviskastike
118,"Hernekeitto,sämpylä/rieska,juusto,tuorepala ",20190213,1,,,Hernekeitto
1180,"Lohikeitto,Tomaattikeitto + raejuusto,Leikkele,Kurkkuviipale,Ruistassu,Tuorepuuro ",20190213,2,,,Lohikeitto
850,"Uunikala/kalamureke,perunasose,kiinankaali-hedelmäsalaatti ",20190214,1,,,Uunikala
1181,"Kalkkunahöystö,Riisi-moniviljaseos,Soija-kasvispaistos,Kiinankaali-ananas-kotimainen hernesalaatti B",20190214,2,,,Kalkkunahöystö
483,"Hedelmäinen broilerikastike,riisi,punajuuri-omenasalaatti
",20190215,1,,,Hedelmäinenbroilerikastike
1182,"Liha-makaronipata,Härkispomodo,Peruna,Porkkanaraaste",20190215,2,,,Liha-makaronipata
259,"Lihapyörykät,
perunat,kastike,kaali-kurkku-minikuutio-salaatti ",20190218,1,,,Lihapyörykät
1420," Jauhelihakastike,Täysjyväpasta,Feta-kasvispaistos,Kaali-kurpitsasalaatti",20190218,2,,,Jauhelihakastike
578,"Tonnikalakasvis-vuoka,porkkanaraaste,kurkkuviipale",20190219,1,,,Tonnikalakasvis-vuoka
1183,"Uunimakkara,Kuskuspihvi,Juusto-perunapaistos,Sinappirelish,Kiinankaali-kurkku-paprikasalaatti B,Sipulirouhe",20190219,2,,,Uunimakkara
119,"Uunimakkara,perunasose,kiinakaalisalaatti",20190220,1,,,Uunimakkara
1184,"Pinaattikeitto,Kananmuna,Sydänystävän puuro,Porkkanapölkky,Luomu eväsvuoka,Ruusunmarja-omenakiisseli",20190220,2,,,Pinaattikeitto
851,"Mannapuuro,marjakiisseli,tuore leipä,leikkele,tuorepala",20190221,1,,,Mannapuuro
1185,"Broilerihoukutus,Itämainen kasviskastike,Täysjyväriisi,Jäävuori-kesäkurpitsa-retiisisalaatti B,Salaattisiemen",20190221,2,,,Broilerihoukutus
484,"Broilerikeitto,
sämpylä,herkkukurkku",20190222,1,,,Broilerikeitto
1186,"Kalapuikot,Perunasose,Tartarkastike,Kasvispaella Porkkanaraaste ",20190222,2,,,Kalapuikot
260,"Suikalelihakastike,perunat,kasvisgratiini,kaali-tomaatti-jääsalaatti-kurkku",20190225,1,,,Lihakastike
1421," Kana-kookoskastike,Täysjyväriisi,Kasvistexmex,Värikäs kiinankaalisalaatti,mh.hillo",20190225,2,,,Kana-kookoskastike
579,"Kappalekala,
perunat/perunasose,kiinankaali-kurkku-paprika-juustosalaatti",20190226,1,,,Kalaleike
1187,"Porkkanapyörykkä,Peruna,Juustokastike,Punajuuri-tofupaistos,Jäävuori-kurkku-hunajamelonisalaatti B,Sipulirouhe",20190226,2,,,Porkkanapyörykkä
120,"Kesäkeitto/pinaattikeitto,kananmuna,ruispala,maksamakkara/leikkele
",20190227,1,,,Kasviskeitto
1188,"Lasagnette,Thaikasviscurry,Ruisriisi,Porkkanaraaste",20190227,2,,,Lasagnette
852,"Jauhelihapihvi/ -mureke,perunat/perunasose,kastike,jäävuori-melonimix -salaatti",20190228,1,,,Jauhelihapihvi
1189,"Uunikala,Peruna,Papu-spagettipata,Tomaatti-purjosalaatti,Caesar salaattisekoitus",20190228,2,,,Uunikala
485,"Broilerivuoka,
porkkanaraaste",20190301,1,,,Broilerivuoka
1190,"Lihakeitto,Perunavelli,Tuorejuusto,Paprikaviipale,Moniviljaruutu,Maustamaton jogurtti + persikkasose",20190301,2,,,Lihakeitto
261,"Broilerikastike,riisi/peruna,
punakaali-marjasalaatti",20190304,1,,,Broilerikastike
1422," Italianpata,Juustoraaste,Soija-kasvispannu,Kiinankaali-Coleslawsalaatti",20190304,2,,,Italianpata
580,"Kalamurekepihvi,perunat,kastike,punajuuri,jäävuori-jääsalaatti-kurkku-tomaatti",20190305,1,,,Kalamureke
1191,"Ranskalainen kala,Peruna,Ruohosipulikastike,Linssi-juureshöystö,Punajuuri-omena ruohosipulisalaatti",20190305,2,,,Ranskalainenkala
121,"Riisi-ohrapuuro,mehukeitto,tuore leipä,leikkele,tuorepala,",20190306,1,,,Puuro
1192,"Juustoinen kana-kasviskeitto,Kasvissosekeitto (siemenet),Juusto,Salaatinlehti,Vehnäleseviipale,Hedelmä",20190306,2,,,Juustoinenkana-kasviskeitto
853,"Pinaattiohukaiset,perunasose,puolukka,pastajuustosalaatti
",20190307,1,,,Pinaattiohukaiset
1193,"Tomaattinen jauheliha-perunavuoka,Punajuuripyörykkä,Bataatti-perunasose,Kiinankaali-kesäkurpitsa-maissisalaatti B",20190307,2,,,Tomaattinenjauheliha-perunavuoka
486,"Makkarakeitto,
tuore leipä/karjalanpiirakka,juusto,
kurkkuviipale",20190308,1,,,Makkarakeitto
1194,"Pinaattiohukkaat,Porkkanapihvi,( perunasose),Perunasalaatti?,Jäävuori- paprika-kesäkurpitsasalaatti + raejuusto,Puolukkahilloke ",20190308,2,,,Pinaattiohukkaat
262,"Kala(kasvis)keitto,reissumies,leikkele,tuorepala",20190311,1,,,Kala
1423," Naudan jauhelihapihvi,Peruna,Ruskea kastike,Kasvisnuudelivuoka,Jäävuori-kesäkurpitsa-tomaattisalaatti B",20190311,2,,,Naudanjauhelihapihvi
581,"Makaronilaatikko/
lasagnette,jääsalaatti-porkkanaraaste
 ",20190312,1,,,Makaronilaatikko
1195,"Kasvispihvi,Uuniperuna,Tomaattisalsa,Tuorejuusto,Porkkana-ananassalaatti",20190312,2,,,Kasvispihvi
122,"Broileripatukka/ -nuggetti,perunasose,
katrin salaatti (kaali)",20190313,1,,,Broilerinugetti
1196,"Broileripaella,Chili Con Soija,Peruna,Kiinankaali-cantaloupemeloni-hernesalaatti B,Salaattisiemen",20190313,2,,,Broileripaella
854,"Talon päivä,
jäävuori-kurkku-tomaatti-majoneesisalaatti+ tortillalastu",20190314,1,,,Talonpäivä
1197,"Ohrapuuro,Bataattisosekeitto,Tomaattiviipale,Maksamakkara,Luomu eväsvuoka,Mansikka-raparperikiisseli",20190314,2,,,Ohrapuuro
487,"Lihakastike,perunat kiinankaali-mandariinisalaatti tai Lihakeitto,tuore leipä,herkkukurkku",20190315,1,,,Lihakastike
1198,"Lohikiusaus,Kasvismakkarahöystö,Peruna,Kaali-vinegrettesalaatti",20190315,2,,,Lohikiusaus
263,"Jauhelihakastike,perunat/pasta,porkkana-raejuustosalaatti",20190318,1,,,Jauhelihakastike
1424,"Broileripyörykkä,Peruna,Currykastike,Kasvismoussaka,Jäävuori-tomaatti-kurkku-kesäkurpitsasalaatti B,Sipulirouhe",20190318,2,,,Broileripyörykkä
582,"Kiusaus (esim. kinkku),jäävuori-meloni-rypälesalaatti,pikkuporkkanat ",20190319,1,,,Kiusaus
1199,"Vaalea kasviskastike,Kasvis-fetapihvi,Peruna,Paholaisenkastike,Juusto-kasvisalaatti",20190319,2,,,Vaaleakasviskastike
123,"Hernekeitto,sämpylä/rieska,juusto,tuorepala ",20190320,1,,,Hernekeitto
1200,"Lohikeitto,Tomaattikeitto + raejuusto,Leikkele,Kurkkuviipale,Ruistassu,Tuorepuuro ",20190320,2,,,Lohikeitto
855,"Uunikala/kalamureke,perunasose,kiinankaali-hedelmäsalaatti ",20190321,1,,,Uunikala
1201,"Kalkkunahöystö,Riisi-moniviljaseos,Soija-kasvispaistos,Kiinankaali-ananas-kotimainen hernesalaatti B",20190321,2,,,Kalkkunahöystö
488,"Hedelmäinen broilerikastike,riisi,punajuuri-omenasalaatti
",20190322,1,,,Hedelmäinenbroilerikastike
1202,"Liha-makaronipata,Härkispomodo,Peruna,Porkkanaraaste",20190322,2,,,Liha-makaronipata
264,"Lihapyörykät,
perunat,kastike,kaali-kurkku-minikuutio-salaatti ",20190325,1,,,Lihapyörykät
1425," Jauhelihakastike,Täysjyväpasta,Feta-kasvispaistos,Kaali-kurpitsasalaatti",20190325,2,,,Jauhelihakastike
583,"Tonnikalakasvis-vuoka,porkkanaraaste,kurkkuviipale",20190326,1,,,Tonnikalakasvis-vuoka
1203,"Uunimakkara,Kuskuspihvi,Juusto-perunapaistos,Sinappirelish,Kiinankaali-kurkku-paprikasalaatti B,Sipulirouhe",20190326,2,,,Uunimakkara
124,"Uunimakkara,perunasose,kiinakaalisalaatti",20190327,1,,,Uunimakkara
1204,"Pinaattikeitto,Kananmuna,Sydänystävän puuro,Porkkanapölkky,Luomu eväsvuoka,Ruusunmarja-omenakiisseli",20190327,2,,,Pinaattikeitto
856,"Mannapuuro,marjakiisseli,tuore leipä,leikkele,tuorepala",20190328,1,,,Mannapuuro
1205,"Broilerihoukutus,Itämainen kasviskastike,Täysjyväriisi,Jäävuori-kesäkurpitsa-retiisisalaatti B,Salaattisiemen",20190328,2,,,Broilerihoukutus
489,"Broilerikeitto,
sämpylä,herkkukurkku",20190329,1,,,Broilerikeitto
1206,"Kalapuikot,Perunasose,Tartarkastike,Kasvispaella Porkkanaraaste ",20190329,2,,,Kalapuikot
265,"Suikalelihakastike,perunat,kasvisgratiini,kaali-tomaatti-jääsalaatti-kurkku",20190401,1,,,Lihakastike
1426," Kana-kookoskastike,Täysjyväriisi,Kasvistexmex,Värikäs kiinankaalisalaatti,mh.hillo",20190401,2,,,Kana-kookoskastike
584,"Kappalekala,
perunat/perunasose,kiinankaali-kurkku-paprika-juustosalaatti",20190402,1,,,Kalaleike
1207,"Porkkanapyörykkä,Peruna,Juustokastike,Punajuuri-tofupaistos,Jäävuori-kurkku-hunajamelonisalaatti B,Sipulirouhe",20190402,2,,,Porkkanapyörykkä
125,"Kesäkeitto/pinaattikeitto,kananmuna,ruispala,maksamakkara/leikkele
",20190403,1,,,Kasviskeitto
1208,"Lasagnette,Thaikasviscurry,Ruisriisi,Porkkanaraaste",20190403,2,,,Lasagnette
857,"Jauhelihapihvi/ -mureke,perunat/perunasose,kastike,jäävuori-melonimix -salaatti",20190404,1,,,Jauhelihapihvi
1209,"Uunikala,Peruna,Papu-spagettipata,Tomaatti-purjosalaatti,Caesar salaattisekoitus",20190404,2,,,Uunikala
490,"Broilerivuoka,
porkkanaraaste",20190405,1,,,Broilerivuoka
1210,"Lihakeitto,Perunavelli,Tuorejuusto,Paprikaviipale,Moniviljaruutu,Maustamaton jogurtti + persikkasose",20190405,2,,,Lihakeitto
266,"Broilerikastike,riisi/peruna,
punakaali-marjasalaatti",20190408,1,,,Broilerikastike
1427," Italianpata,Juustoraaste,Soija-kasvispannu,Kiinankaali-Coleslawsalaatti",20190408,2,,,Italianpata
585,"Kalamurekepihvi,perunat,kastike,punajuuri,jäävuori-jääsalaatti-kurkku-tomaatti",20190409,1,,,Kalamureke
1211,"Ranskalainen kala,Peruna,Ruohosipulikastike,Linssi-juureshöystö,Punajuuri-omena ruohosipulisalaatti",20190409,2,,,Ranskalainenkala
126,"Riisi-ohrapuuro,mehukeitto,tuore leipä,leikkele,tuorepala,",20190410,1,,,Puuro
1212,"Juustoinen kana-kasviskeitto,Kasvissosekeitto (siemenet),Juusto,Salaatinlehti,Vehnäleseviipale,Hedelmä",20190410,2,,,Juustoinenkana-kasviskeitto
858,"Pinaattiohukaiset,perunasose,puolukka,pastajuustosalaatti
",20190411,1,,,Pinaattiohukaiset
1213,"Tomaattinen jauheliha-perunavuoka,Punajuuripyörykkä,Bataatti-perunasose,Kiinankaali-kesäkurpitsa-maissisalaatti B",20190411,2,,,Tomaattinenjauheliha-perunavuoka
491,"Makkarakeitto,
tuore leipä/karjalanpiirakka,juusto,
kurkkuviipale",20190412,1,,,Makkarakeitto
1214,"Pinaattiohukkaat,Porkkanapihvi,( perunasose),Perunasalaatti?,Jäävuori- paprika-kesäkurpitsasalaatti + raejuusto,Puolukkahilloke ",20190412,2,,,Pinaattiohukkaat
267,"Kala(kasvis)keitto,reissumies,leikkele,tuorepala",20190415,1,,,Kala
1428," Naudan jauhelihapihvi,Peruna,Ruskea kastike,Kasvisnuudelivuoka,Jäävuori-kesäkurpitsa-tomaattisalaatti B",20190415,2,,,Naudanjauhelihapihvi
586,"Makaronilaatikko/
lasagnette,jääsalaatti-porkkanaraaste
 ",20190416,1,,,Makaronilaatikko
1215,"Kasvispihvi,Uuniperuna,Tomaattisalsa,Tuorejuusto,Porkkana-ananassalaatti",20190416,2,,,Kasvispihvi
127,"Broileripatukka/ -nuggetti,perunasose,
katrin salaatti (kaali)",20190417,1,,,Broilerinugetti
1216,"Broileripaella,Chili Con Soija,Peruna,Kiinankaali-cantaloupemeloni-hernesalaatti B,Salaattisiemen",20190417,2,,,Broileripaella
859,"Talon päivä,
jäävuori-kurkku-tomaatti-majoneesisalaatti+ tortillalastu",20190418,1,,,Talonpäivä
1217,"Ohrapuuro,Bataattisosekeitto,Tomaattiviipale,Maksamakkara,Luomu eväsvuoka,Mansikka-raparperikiisseli",20190418,2,,,Ohrapuuro
492,"Lihakastike,perunat kiinankaali-mandariinisalaatti tai Lihakeitto,tuore leipä,herkkukurkku",20190419,1,,,Lihakastike
1218,"Lohikiusaus,Kasvismakkarahöystö,Peruna,Kaali-vinegrettesalaatti",20190419,2,,,Lohikiusaus
268,"Jauhelihakastike,perunat/pasta,porkkana-raejuustosalaatti",20190422,1,,,Jauhelihakastike
1429,"Broileripyörykkä,Peruna,Currykastike,Kasvismoussaka,Jäävuori-tomaatti-kurkku-kesäkurpitsasalaatti B,Sipulirouhe",20190422,2,,,Broileripyörykkä
587,"Kiusaus (esim. kinkku),jäävuori-meloni-rypälesalaatti,pikkuporkkanat ",20190423,1,,,Kiusaus
1219,"Vaalea kasviskastike,Kasvis-fetapihvi,Peruna,Paholaisenkastike,Juusto-kasvisalaatti",20190423,2,,,Vaaleakasviskastike
128,"Hernekeitto,sämpylä/rieska,juusto,tuorepala ",20190424,1,,,Hernekeitto
1220,"Lohikeitto,Tomaattikeitto + raejuusto,Leikkele,Kurkkuviipale,Ruistassu,Tuorepuuro ",20190424,2,,,Lohikeitto
860,"Uunikala/kalamureke,perunasose,kiinankaali-hedelmäsalaatti ",20190425,1,,,Uunikala
1221,"Kalkkunahöystö,Riisi-moniviljaseos,Soija-kasvispaistos,Kiinankaali-ananas-kotimainen hernesalaatti B",20190425,2,,,Kalkkunahöystö
493,"Hedelmäinen broilerikastike,riisi,punajuuri-omenasalaatti
",20190426,1,,,Hedelmäinenbroilerikastike
1222,"Liha-makaronipata,Härkispomodo,Peruna,Porkkanaraaste",20190426,2,,,Liha-makaronipata
269,"Lihapyörykät,
perunat,kastike,kaali-kurkku-minikuutio-salaatti ",20190429,1,,,Lihapyörykät
1430," Jauhelihakastike,Täysjyväpasta,Feta-kasvispaistos,Kaali-kurpitsasalaatti",20190429,2,,,Jauhelihakastike
588,"Tonnikalakasvis-vuoka,porkkanaraaste,kurkkuviipale",20190430,1,,,Tonnikalakasvis-vuoka
1223,"Uunimakkara,Kuskuspihvi,Juusto-perunapaistos,Sinappirelish,Kiinankaali-kurkku-paprikasalaatti B,Sipulirouhe",20190430,2,,,Uunimakkara
129,"Uunimakkara,perunasose,kiinakaalisalaatti",20190501,1,,,Uunimakkara
1224,"Pinaattikeitto,Kananmuna,Sydänystävän puuro,Porkkanapölkky,Luomu eväsvuoka,Ruusunmarja-omenakiisseli",20190501,2,,,Pinaattikeitto
861,"Mannapuuro,marjakiisseli,tuore leipä,leikkele,tuorepala",20190502,1,,,Mannapuuro
1225,"Broilerihoukutus,Itämainen kasviskastike,Täysjyväriisi,Jäävuori-kesäkurpitsa-retiisisalaatti B,Salaattisiemen",20190502,2,,,Broilerihoukutus
494,"Broilerikeitto,
sämpylä,herkkukurkku",20190503,1,,,Broilerikeitto
1226,"Kalapuikot,Perunasose,Tartarkastike,Kasvispaella Porkkanaraaste ",20190503,2,,,Kalapuikot
270,"Suikalelihakastike,perunat,kasvisgratiini,kaali-tomaatti-jääsalaatti-kurkku",20190506,1,,,Lihakastike
1431," Kana-kookoskastike,Täysjyväriisi,Kasvistexmex,Värikäs kiinankaalisalaatti,mh.hillo",20190506,2,,,Kana-kookoskastike
589,"Kappalekala,
perunat/perunasose,kiinankaali-kurkku-paprika-juustosalaatti",20190507,1,,,Kalaleike
1227,"Porkkanapyörykkä,Peruna,Juustokastike,Punajuuri-tofupaistos,Jäävuori-kurkku-hunajamelonisalaatti B,Sipulirouhe",20190507,2,,,Porkkanapyörykkä
130,"Kesäkeitto/pinaattikeitto,kananmuna,ruispala,maksamakkara/leikkele
",20190508,1,,,Kasviskeitto
1228,"Lasagnette,Thaikasviscurry,Ruisriisi,Porkkanaraaste",20190508,2,,,Lasagnette
